REF_AREA,FREQ,MEASURE,UNIT_MEASURE,ADJUSTMENT,POLLUTANT,METHODOLOGY,SOURCE,VESSEL,VESSEL_EMISSIONS_SOURCE,TIME_PERIOD,CO2_Emissions,Group
World,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Ro-Ro,Domestic voyages,2019-02,859421,World Total
World,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Ro-Ro,Domestic voyages,2019-01,879865,World Total
World,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Offshore,Domestic voyages,2024-12,1296964,World Total
World,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Offshore,Domestic voyages,2024-11,1270672,World Total
World,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Offshore,Domestic voyages,2024-10,1316744,World Total
World,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Offshore,Domestic voyages,2024-09,1320251,World Total
World,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Offshore,Domestic voyages,2024-08,1355792,World Total
World,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Offshore,Domestic voyages,2024-07,1381454,World Total
World,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Offshore,Domestic voyages,2024-06,1368488,World Total
World,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Offshore,Domestic voyages,2024-05,1374381,World Total
World,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Offshore,Domestic voyages,2024-04,1342436,World Total
World,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Offshore,Domestic voyages,2024-03,1374174,World Total
World,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Offshore,Domestic voyages,2024-02,1216978,World Total
World,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Offshore,Domestic voyages,2024-01,1253095,World Total
